dataset,method,adaptive_accuracy,oracle_accuracy,oracle_language,tie_count,regret,interpretation
forest-fires-un,smart_certified,0.5435483870967742,0.5432258064516129,unary,1,-0.00032258064516133,beats_every_fixed_language
german-credit,cals,0.7176666666666667,0.7083333333333333,horn,1,-0.009333333333333416,beats_every_fixed_language
german-credit,cals_compact_explain,0.7283333333333333,0.7083333333333333,horn,1,-0.020000000000000018,beats_every_fixed_language
german-credit,smart_certified,0.6978333333333333,0.7083333333333333,horn,1,0.010499999999999954,underperforms_best_fixed_language
heart-cleveland,cals,0.7764044943820225,0.75,unary,1,-0.026404494382022525,beats_every_fixed_language
heart-cleveland,cals_compact_explain,0.752247191011236,0.75,unary,1,-0.0022471910112360494,beats_every_fixed_language
heart-cleveland,smart_certified,0.7415730337078652,0.75,unary,1,0.008426966292134797,underperforms_best_fixed_language
hepatitis,cals,0.8560975609756097,0.8036585365853659,horn,3,-0.05243902439024384,beats_every_fixed_language
hepatitis,cals_compact_explain,0.8243902439024391,0.8036585365853659,horn,3,-0.02073170731707319,beats_every_fixed_language
hepatitis,smart_certified,0.8146341463414635,0.8036585365853659,horn,3,-0.01097560975609757,beats_every_fixed_language
hypothyroid,cals,0.9791067761806982,0.9796201232032855,unary,1,0.0005133470225873182,underperforms_best_fixed_language
hypothyroid,cals_compact_explain,0.9774127310061601,0.9796201232032855,unary,1,0.002207392197125402,underperforms_best_fixed_language
hypothyroid,smart_certified,0.9791067761806982,0.9796201232032855,unary,1,0.0005133470225873182,underperforms_best_fixed_language
ionosphere,cals,0.8780952380952382,0.8671428571428571,affine,1,-0.010952380952381047,beats_every_fixed_language
ionosphere,cals_compact_explain,0.8642857142857142,0.8671428571428571,affine,1,0.0028571428571428914,underperforms_best_fixed_language
ionosphere,smart_certified,0.8723809523809523,0.8671428571428571,affine,1,-0.005238095238095153,beats_every_fixed_language
kr-vs-kp,cals,0.9860792492179353,0.9794056308654848,square2cnf,1,-0.0066736183524505055,beats_every_fixed_language
kr-vs-kp,cals_compact_explain,0.9878519290928051,0.9794056308654848,square2cnf,1,-0.008446298227320237,beats_every_fixed_language
