dataset,method,aggregation,depth,accuracy,accuracy_std,nodes,predicate_literals,mean_axp_length,runtime,runs
anneal,horn,depth_mean_across_runs,5,0.8274590163934427,0.02273266734571816,24.6,23.6,4.538934426229508,0.0051573618,10
anneal,horn,depth_mean_across_runs,7,0.8610655737704919,0.02842383751540936,43.4,42.4,6.479098360655738,0.007160531,10
anneal,square2cnf,depth_mean_across_runs,5,0.8344262295081967,0.025862643860544796,24.8,47.6,5.058606557377049,0.0238544723,10
anneal,square2cnf,depth_mean_across_runs,7,0.864344262295082,0.029582102348555076,43.8,85.6,7.233606557377049,0.039412488499999995,10
anneal,unary,depth_mean_across_runs,5,0.8176229508196722,0.025648884365462532,23.2,11.1,2.071311475409836,0.0035529103,10
anneal,unary,depth_mean_across_runs,7,0.8405737704918034,0.023854352418294388,38.0,18.5,3.05327868852459,0.0048983003,10
audiology,affine,depth_mean_across_runs,5,0.9507692307692308,0.027900452325611155,12.6,13.5,4.524615384615385,0.0048683885,10
audiology,affine,depth_mean_across_runs,7,0.9507692307692308,0.027900452325611155,12.6,13.5,4.524615384615385,0.0048340479,10
audiology,antihorn,depth_mean_across_runs,5,0.9523076923076923,0.015298906554026994,14.2,13.2,3.3661538461538463,0.0021679926,10
audiology,antihorn,depth_mean_across_runs,7,0.9523076923076923,0.015298906554026994,14.4,13.4,3.3846153846153846,0.0021816734,10
audiology,horn,depth_mean_across_runs,5,0.9553846153846154,0.011351765959578822,14.2,13.2,3.398461538461538,0.0024195894,10
audiology,horn,depth_mean_across_runs,7,0.9553846153846154,0.011351765959578822,14.2,13.2,3.398461538461538,0.0021516564,10
audiology,square2cnf,depth_mean_across_runs,5,0.953846153846154,0.01776462366737314,13.6,25.2,4.156923076923077,0.0082940577,10
audiology,square2cnf,depth_mean_across_runs,7,0.953846153846154,0.01776462366737314,13.6,25.2,4.156923076923077,0.008367729899999999,10
audiology,unary,depth_mean_across_runs,5,0.9415384615384615,0.024912733951776685,15.8,7.4,2.4753846153846153,0.0024670406,10
audiology,unary,depth_mean_across_runs,7,0.9430769230769231,0.02181748449864891,17.2,8.1,2.6584615384615384,0.0020877753999999998,10
australian-credit,affine,depth_mean_across_runs,5,0.8367346938775511,0.02656547508811791,42.4,50.6,8.586224489795919,0.0208598215,10
australian-credit,affine,depth_mean_across_runs,7,0.8372448979591838,0.017418486570162435,76.0,92.7,10.745918367346938,0.0368746835,10
australian-credit,antihorn,depth_mean_across_runs,5,0.8403061224489796,0.027002818465851428,42.2,41.2,5.497448979591836,0.009079944400000001,10
australian-credit,antihorn,depth_mean_across_runs,7,0.846938775510204,0.02522516492209406,76.6,75.6,6.957653061224489,0.0135699245,10
australian-credit,horn,depth_mean_across_runs,5,0.8443877551020409,0.02957912777368383,43.0,42.0,5.521938775510204,0.0091245987,10
australian-credit,horn,depth_mean_across_runs,7,0.851530612244898,0.025617687399990482,76.6,75.6,7.059183673469387,0.013328097,10
australian-credit,square2cnf,depth_mean_across_runs,5,0.8433673469387755,0.027109718402735364,41.2,80.4,6.167857142857143,0.0375643117,10
australian-credit,square2cnf,depth_mean_across_runs,7,0.8464285714285715,0.018853787825735484,74.2,146.4,7.799489795918367,0.0651043197,10
australian-credit,unary,depth_mean_across_runs,5,0.85,0.027862105328261756,39.0,19.0,4.036734693877551,0.0068028846000000006,10
australian-credit,unary,depth_mean_across_runs,7,0.8377551020408163,0.028941561069636274,76.8,37.9,5.271428571428571,0.0110134309,10
balance-scale-bin,affine,depth_mean_across_runs,5,0.9096256684491978,0.013446005109195053,33.2,33.5,1.9165775401069518,0.0145940401,10
balance-scale-bin,affine,depth_mean_across_runs,7,0.8807486631016042,0.01920672192092832,61.6,64.9,6.108021390374331,0.020718554,10
balance-scale-bin,antihorn,depth_mean_across_runs,5,0.9128342245989304,0.010099262370207045,24.2,23.2,1.146524064171123,0.0018453066,10
balance-scale-bin,antihorn,depth_mean_across_runs,7,0.8967914438502674,0.014492318448611676,42.6,41.6,2.3823529411764706,0.0028242071,10
balance-scale-bin,horn,depth_mean_across_runs,5,0.9096256684491978,0.012464979491655679,25.2,24.2,0.958288770053476,0.0020482938,10
balance-scale-bin,horn,depth_mean_across_runs,7,0.9026737967914439,0.010930274307847331,45.0,44.0,2.2288770053475937,0.0030383562,10
balance-scale-bin,square2cnf,depth_mean_across_runs,5,0.9069518716577539,0.01265471611358206,29.8,57.6,1.7711229946524063,0.0342681281,10
balance-scale-bin,square2cnf,depth_mean_across_runs,7,0.8796791443850267,0.021575255680766892,51.2,100.4,4.05668449197861,0.0572698351,10
balance-scale-bin,unary,depth_mean_across_runs,5,0.9139037433155079,0.009245135458032032,36.6,17.8,0.4614973262032086,0.0008623883000000001,10
balance-scale-bin,unary,depth_mean_across_runs,7,0.8877005347593583,0.012349738378387732,71.8,35.4,2.537967914438503,0.0013274371,10
bank_conv-bin,affine,depth_mean_across_runs,5,0.899410029498525,0.006902276670677052,55.4,58.4,6.655014749262537,0.1431457298,10
bank_conv-bin,affine,depth_mean_across_runs,7,0.8949852507374632,0.006796407256977395,135.4,152.5,10.631637168141593,0.3263204602,10
bank_conv-bin,antihorn,depth_mean_across_runs,5,0.901401179941003,0.007022483778430165,54.8,53.8,5.712020648967552,0.0696235775,10
bank_conv-bin,antihorn,depth_mean_across_runs,7,0.8977138643067846,0.005519216171876965,132.6,131.6,8.059660766961652,0.11814229439999999,10
bank_conv-bin,horn,depth_mean_across_runs,5,0.9001474926253688,0.006298009942930151,52.0,51.0,5.461356932153392,0.06785852569999999,10
bank_conv-bin,horn,depth_mean_across_runs,7,0.8991150442477875,0.0069424319009258086,123.8,122.8,8.139823008849557,0.1102232631,10
bank_conv-bin,square2cnf,depth_mean_across_runs,5,0.8972713864306785,0.0071503928537640805,52.8,103.6,7.367551622418878,0.2704470227,10
bank_conv-bin,square2cnf,depth_mean_across_runs,7,0.8974188790560472,0.008193256272427629,128.2,254.4,9.802802359882005,0.6256229538,10
bank_conv-bin,unary,depth_mean_across_runs,5,0.9021386430678466,0.007031083443394122,55.4,27.2,4.900294985250738,0.054443210799999996,10
bank_conv-bin,unary,depth_mean_across_runs,7,0.9019174041297935,0.007039243393941187,130.8,64.9,7.983185840707965,0.0867401116,10
banknote-bin,affine,depth_mean_across_runs,5,0.9716019417475728,0.011096242185109201,30.4,33.1,5.468689320388349,0.0228745354,10
banknote-bin,affine,depth_mean_across_runs,7,0.9851941747572817,0.0029058713585870394,43.4,47.7,6.213592233009709,0.0284349742,10
banknote-bin,antihorn,depth_mean_across_runs,5,0.9800970873786408,0.006140344971200826,30.2,29.2,4.311407766990291,0.004366793799999999,10
banknote-bin,antihorn,depth_mean_across_runs,7,0.9876213592233011,0.004037208721642242,40.4,39.4,4.757038834951457,0.0053567956,10
banknote-bin,horn,depth_mean_across_runs,5,0.9817961165048544,0.007076397930637545,27.0,26.0,4.2279126213592235,0.0040585351,10
banknote-bin,horn,depth_mean_across_runs,7,0.9890776699029127,0.004004650055263577,38.6,37.6,4.625970873786408,0.0052317491,10
banknote-bin,square2cnf,depth_mean_across_runs,5,0.9895631067961166,0.006166938187753861,28.2,54.4,4.945873786407767,0.0489737072,10
banknote-bin,square2cnf,depth_mean_across_runs,7,0.9907766990291262,0.002755564136881288,32.2,62.4,5.1611650485436895,0.0552220064,10
banknote-bin,unary,depth_mean_across_runs,5,0.9720873786407767,0.011626300860194097,30.2,14.6,3.336407766990291,0.0016452953999999999,10
banknote-bin,unary,depth_mean_across_runs,7,0.9902912621359224,0.006266963343377696,47.0,23.0,3.9077669902912624,0.0020324374,10
biodeg-bin,affine,depth_mean_across_runs,5,0.805379746835443,0.023026244676100295,45.2,50.5,8.848734177215189,0.0448984058,10
biodeg-bin,affine,depth_mean_across_runs,7,0.8009493670886076,0.022048684598262605,89.6,104.2,13.232911392405063,0.08541855670000001,10
biodeg-bin,antihorn,depth_mean_across_runs,5,0.808860759493671,0.013191981604104234,45.0,44.0,5.200949367088607,0.0233748963,10
biodeg-bin,antihorn,depth_mean_across_runs,7,0.8139240506329115,0.01977953583685103,88.0,87.0,7.12753164556962,0.034701763600000005,10
biodeg-bin,horn,depth_mean_across_runs,5,0.816139240506329,0.01480179962334268,46.6,45.6,6.21740506329114,0.0235184165,10
biodeg-bin,horn,depth_mean_across_runs,7,0.8132911392405063,0.015286262390495206,95.2,94.2,8.310443037974684,0.0362027642,10
biodeg-bin,square2cnf,depth_mean_across_runs,5,0.8167721518987342,0.010906377236761872,47.8,93.6,6.970886075949368,0.087940565,10
biodeg-bin,square2cnf,depth_mean_across_runs,7,0.816139240506329,0.01947624204881509,90.8,179.6,9.063924050632911,0.1589521404,10
biodeg-bin,unary,depth_mean_across_runs,5,0.8091772151898734,0.017591065961629467,44.6,21.8,3.9268987341772155,0.0196843925,10
biodeg-bin,unary,depth_mean_across_runs,7,0.8177215189873417,0.02116024289978027,93.8,46.4,5.9303797468354436,0.030456253499999995,10
breast-cancer-un,affine,depth_mean_across_runs,5,0.9390243902439025,0.014769026117548703,27.8,30.4,6.982926829268292,0.015781437000000002,10
breast-cancer-un,affine,depth_mean_across_runs,7,0.9346341463414636,0.015630068085460695,37.6,42.0,7.982439024390244,0.021588626899999998,10
breast-cancer-un,antihorn,depth_mean_across_runs,5,0.9473170731707317,0.007899159545685238,29.2,28.2,4.734146341463415,0.0051360137,10
breast-cancer-un,antihorn,depth_mean_across_runs,7,0.9390243902439025,0.011087952599175457,34.8,33.8,5.1726829268292684,0.0056964189,10
breast-cancer-un,horn,depth_mean_across_runs,5,0.9375609756097563,0.016389727698672075,19.8,18.8,3.6731707317073172,0.0039615619000000005,10
breast-cancer-un,horn,depth_mean_across_runs,7,0.9400000000000001,0.013418329128961085,29.8,28.8,4.174146341463414,0.0050871961,10
breast-cancer-un,square2cnf,depth_mean_across_runs,5,0.9414634146341463,0.00948122259324433,20.2,38.4,4.678536585365853,0.022856048,10
breast-cancer-un,square2cnf,depth_mean_across_runs,7,0.9453658536585365,0.01836750731244608,24.4,46.8,5.030243902439024,0.026632165899999997,10
breast-cancer-un,unary,depth_mean_across_runs,5,0.9395121951219512,0.015288012063145576,29.8,14.4,3.3546341463414633,0.0038329328,10
breast-cancer-un,unary,depth_mean_across_runs,7,0.9404878048780487,0.021791044640976812,43.4,21.2,3.8239024390243905,0.0043592851000000005,10
breast-wisconsin,affine,depth_mean_across_runs,5,0.9492682926829268,0.011076023652635087,29.0,37.1,8.708292682926828,0.013929202199999999,10
breast-wisconsin,affine,depth_mean_across_runs,7,0.9370731707317074,0.01160068876860937,38.4,49.2,9.72439024390244,0.0180992253,10
breast-wisconsin,antihorn,depth_mean_across_runs,5,0.9404878048780487,0.01316972795532784,26.4,25.4,5.66390243902439,0.0059408207,10
breast-wisconsin,antihorn,depth_mean_across_runs,7,0.9429268292682927,0.011509163166950486,32.0,31.0,5.834634146341463,0.006651513100000001,10
breast-wisconsin,horn,depth_mean_across_runs,5,0.9404878048780487,0.01316972795532784,26.4,25.4,5.661951219512195,0.0059208444,10
breast-wisconsin,horn,depth_mean_across_runs,7,0.9429268292682927,0.011509163166950486,32.0,31.0,5.8341463414634145,0.0065666545,10
breast-wisconsin,square2cnf,depth_mean_across_runs,5,0.9404878048780487,0.01316972795532784,26.6,51.2,6.1970731707317075,0.0237656795,10
breast-wisconsin,square2cnf,depth_mean_across_runs,7,0.9429268292682927,0.011509163166950486,32.2,62.4,6.436097560975609,0.028370945800000002,10
breast-wisconsin,unary,depth_mean_across_runs,5,0.9497560975609757,0.014552618429440256,29.4,14.2,4.020487804878049,0.0052244616,10
breast-wisconsin,unary,depth_mean_across_runs,7,0.9487804878048781,0.016937127362601275,38.4,18.7,4.23609756097561,0.0062501837,10
car-un,affine,depth_mean_across_runs,5,0.9237451737451737,0.010425902024465677,20.6,20.0,3.798262548262548,0.016262222700000002,10
car-un,affine,depth_mean_across_runs,7,0.9604247104247104,0.009157174691607237,47.2,51.6,4.539189189189189,0.029554577300000003,10
car-un,antihorn,depth_mean_across_runs,5,0.9501930501930502,0.009271770221018216,24.4,23.4,2.8252895752895753,0.0043251837000000005,10
car-un,antihorn,depth_mean_across_runs,7,0.9752895752895754,0.008623869018147254,44.6,43.6,3.1604247104247105,0.006629767,10
car-un,horn,depth_mean_across_runs,5,0.95,0.011382869768398418,19.0,18.0,3.043822393822394,0.0032888263,10
car-un,horn,depth_mean_across_runs,7,0.9700772200772201,0.008645449705627035,34.0,33.0,3.396525096525097,0.0050477067,10
car-un,square2cnf,depth_mean_across_runs,5,0.9586872586872588,0.012876446268500112,21.6,41.2,3.4401544401544397,0.050608886900000004,10
car-un,square2cnf,depth_mean_across_runs,7,0.9776061776061777,0.008449239414244492,40.8,79.6,3.774710424710425,0.09102965510000001,10
car-un,unary,depth_mean_across_runs,5,0.9243243243243244,0.012066280549121455,17.0,8.0,2.2494208494208494,0.0012531682,10
car-un,unary,depth_mean_across_runs,7,0.963899613899614,0.010846374671408365,39.8,19.4,2.554826254826255,0.0019773414,10
car_evaluation-bin,affine,depth_mean_across_runs,5,0.9332046332046332,0.008879376221704096,23.0,24.1,3.2978764478764475,0.0133754318,10
car_evaluation-bin,affine,depth_mean_across_runs,7,0.9301158301158301,0.007154152952219972,56.0,59.4,3.7333976833976834,0.0218886259,10
car_evaluation-bin,antihorn,depth_mean_across_runs,5,0.9324324324324325,0.009759170455664823,25.6,24.6,2.207915057915058,0.0034643885,10
car_evaluation-bin,antihorn,depth_mean_across_runs,7,0.9347490347490348,0.014526590537474812,52.6,51.6,2.6623552123552123,0.0054454322,10
car_evaluation-bin,horn,depth_mean_across_runs,5,0.9418918918918919,0.008797385765834907,28.6,27.6,2.5073359073359076,0.0037273306,10
car_evaluation-bin,horn,depth_mean_across_runs,7,0.9285714285714286,0.007337036197549138,58.6,57.6,2.8374517374517376,0.0054462069,10
car_evaluation-bin,square2cnf,depth_mean_across_runs,5,0.937065637065637,0.012351189821374634,15.0,28.0,2.762162162162162,0.0374999753,10
car_evaluation-bin,square2cnf,depth_mean_across_runs,7,0.9343629343629344,0.007933608755429866,31.8,61.6,3.0048262548262548,0.0731885552,10
car_evaluation-bin,unary,depth_mean_across_runs,5,0.9208494208494209,0.007985632976828095,17.4,8.2,2.107722007722008,0.0009229282,10
car_evaluation-bin,unary,depth_mean_across_runs,7,0.9445945945945946,0.00941580203910254,41.8,20.4,2.4631274131274132,0.0013669697,10
compas_discretized,affine,depth_mean_across_runs,5,0.6674594594594595,0.009782307057601837,55.6,55.7,7.00491891891892,0.1088392753,10
compas_discretized,affine,depth_mean_across_runs,7,0.6623783783783784,0.010921951233569838,166.6,173.2,9.570270270270269,0.1863464242,10
compas_discretized,antihorn,depth_mean_across_runs,5,0.668918918918919,0.010068348519602517,58.4,57.4,4.700972972972973,0.0232003779,10
compas_discretized,antihorn,depth_mean_across_runs,7,0.6674594594594595,0.010834208913690385,166.6,165.6,6.919729729729729,0.045540287400000004,10
compas_discretized,horn,depth_mean_across_runs,5,0.6676756756756757,0.009285137659125808,57.8,56.8,4.212702702702702,0.0216394956,10
compas_discretized,horn,depth_mean_across_runs,7,0.6663243243243243,0.008915005056251554,157.6,156.6,6.401999999999999,0.0414934721,10
compas_discretized,square2cnf,depth_mean_across_runs,5,0.6669189189189189,0.009725724901517357,58.8,115.6,5.5645945945945945,0.3053997261,10
compas_discretized,square2cnf,depth_mean_across_runs,7,0.6657297297297298,0.012535672659852788,166.8,331.6,7.791351351351352,0.8764607936,10
compas_discretized,unary,depth_mean_across_runs,5,0.6717297297297298,0.01100442245325695,55.4,27.2,3.472918918918919,0.0082522868,10
compas_discretized,unary,depth_mean_across_runs,7,0.6702162162162162,0.009329262738896341,158.8,78.9,5.176702702702703,0.0146738399,10
diabetes,affine,depth_mean_across_runs,5,0.7378260869565217,0.024513754824452377,49.4,58.4,8.730434782608695,0.025952748400000003,10
diabetes,affine,depth_mean_across_runs,7,0.717391304347826,0.01844626385704038,111.0,136.6,13.792608695652174,0.0563277307,10
diabetes,antihorn,depth_mean_across_runs,5,0.7447826086956522,0.03012610895326056,50.8,49.8,6.234782608695652,0.010838930299999999,10
diabetes,antihorn,depth_mean_across_runs,7,0.7221739130434782,0.03505029842169244,108.0,107.0,9.28217391304348,0.0189351731,10
diabetes,horn,depth_mean_across_runs,5,0.7447826086956522,0.03012610895326056,50.8,49.8,6.252173913043478,0.0107625625,10
diabetes,horn,depth_mean_across_runs,7,0.7221739130434782,0.03505029842169244,108.0,107.0,9.38608695652174,0.0186867161,10
diabetes,square2cnf,depth_mean_across_runs,5,0.7447826086956522,0.03012610895326056,50.8,99.6,7.373913043478261,0.0486304835,10
diabetes,square2cnf,depth_mean_across_runs,7,0.7226086956521739,0.03446716868682839,107.8,213.6,10.743478260869566,0.10175671150000001,10
diabetes,unary,depth_mean_across_runs,5,0.7560869565217392,0.018835004749315636,51.4,25.2,4.166086956521739,0.0083112975,10
diabetes,unary,depth_mean_across_runs,7,0.731304347826087,0.03471006928677726,115.6,57.3,6.518260869565218,0.0150577025,10
forest-fires-un,affine,depth_mean_across_runs,5,0.5367741935483871,0.05087283027980196,15.8,16.2,7.171612903225807,0.0173576397,10
forest-fires-un,affine,depth_mean_across_runs,7,0.5374193548387096,0.05746806358974727,23.8,25.1,9.876129032258065,0.0240871375,10
forest-fires-un,antihorn,depth_mean_across_runs,5,0.5270967741935484,0.05508483666099757,17.6,16.6,7.805161290322582,0.026168390899999998,10
forest-fires-un,antihorn,depth_mean_across_runs,7,0.5283870967741936,0.054443016868926906,26.6,25.6,10.134193548387097,0.0343066423,10
forest-fires-un,horn,depth_mean_across_runs,5,0.5406451612903226,0.05195228918426718,15.0,14.0,3.6774193548387095,0.0253308859,10
forest-fires-un,horn,depth_mean_across_runs,7,0.532258064516129,0.05642856672430936,24.2,23.2,5.203225806451613,0.0340356671,10
forest-fires-un,square2cnf,depth_mean_across_runs,5,0.5341935483870968,0.05059936746615994,17.2,32.4,7.699354838709676,0.0366591,10
forest-fires-un,square2cnf,depth_mean_across_runs,7,0.5361290322580645,0.052891859955743595,26.6,51.2,10.396774193548387,0.0498622965,10
forest-fires-un,unary,depth_mean_across_runs,5,0.5412903225806451,0.04945769028862349,14.4,6.7,3.318709677419355,0.0367572978,10
forest-fires-un,unary,depth_mean_across_runs,7,0.5451612903225806,0.06685716798584868,24.6,11.8,4.921935483870968,0.0506531133,10
german-credit,affine,depth_mean_across_runs,5,0.6953333333333334,0.020196564920003136,50.8,54.8,10.458,0.0397020945,10
german-credit,affine,depth_mean_across_runs,7,0.689,0.01987926520737587,109.6,124.6,17.159,0.0838826282,10
german-credit,antihorn,depth_mean_across_runs,5,0.713,0.01643918834919311,49.4,48.4,7.294,0.0129088311,10
german-credit,antihorn,depth_mean_across_runs,7,0.701,0.02073048688332602,106.6,105.6,11.523666666666667,0.022779887300000003,10
german-credit,horn,depth_mean_across_runs,5,0.7183333333333334,0.013810892105173377,49.0,48.0,7.003333333333333,0.012338728,10
german-credit,horn,depth_mean_across_runs,7,0.6983333333333334,0.019132417064136185,97.4,96.4,10.949,0.0209144256,10
german-credit,square2cnf,depth_mean_across_runs,5,0.7030000000000001,0.017173766960248943,51.2,100.4,9.122333333333334,0.0742223486,10
german-credit,square2cnf,depth_mean_across_runs,7,0.6849999999999999,0.022457092146008596,101.8,201.6,13.591,0.1456881931,10
german-credit,unary,depth_mean_across_runs,5,0.706,0.01864549063413602,50.8,24.9,5.353666666666667,0.008756243399999999,10
german-credit,unary,depth_mean_across_runs,7,0.694,0.02779110791264622,109.2,54.1,8.164666666666665,0.0157683827,10
heart-cleveland,affine,depth_mean_across_runs,5,0.752808988764045,0.03856041251305993,40.8,51.3,8.671910112359551,0.015175460800000002,10
heart-cleveland,affine,depth_mean_across_runs,7,0.7460674157303371,0.03935258587734439,58.8,76.3,10.252808988764045,0.020517261000000002,10
heart-cleveland,antihorn,depth_mean_across_runs,5,0.7415730337078651,0.04617538579002978,32.6,31.6,4.639325842696629,0.0046197719,10
heart-cleveland,antihorn,depth_mean_across_runs,7,0.7337078651685393,0.04238998896455707,48.0,47.0,5.601123595505618,0.0060039689,10
heart-cleveland,horn,depth_mean_across_runs,5,0.7449438202247192,0.037471905433050956,32.4,31.4,4.704494382022472,0.0045312628,10
heart-cleveland,horn,depth_mean_across_runs,7,0.7438202247191011,0.04456771469855733,47.4,46.4,5.564044943820225,0.0059198874,10
heart-cleveland,square2cnf,depth_mean_across_runs,5,0.7404494382022472,0.05037418375608964,33.8,65.6,5.63370786516854,0.0237278311,10
heart-cleveland,square2cnf,depth_mean_across_runs,7,0.7404494382022472,0.047211813975002,47.8,93.6,6.56067415730337,0.0320155961,10
heart-cleveland,unary,depth_mean_across_runs,5,0.747191011235955,0.04311185180981774,40.8,19.9,3.7438202247191006,0.0051490571,10
heart-cleveland,unary,depth_mean_across_runs,7,0.752808988764045,0.03432640970004375,62.6,30.8,4.380898876404494,0.0063891825,10
hepatitis,affine,depth_mean_across_runs,5,0.8097560975609757,0.059521968187717524,24.4,30.2,7.44390243902439,0.0064674000999999995,10
hepatitis,affine,depth_mean_across_runs,7,0.7951219512195122,0.04482617480354545,28.4,35.7,7.946341463414635,0.0072713772,10
hepatitis,antihorn,depth_mean_across_runs,5,0.8024390243902438,0.046632944389268245,23.4,22.4,4.775609756097561,0.0020190173,10
hepatitis,antihorn,depth_mean_across_runs,7,0.8048780487804879,0.0459906849552226,26.0,25.0,4.853658536585366,0.0022238142,10
