analysis_type,metric,method,comparison,n_datasets,mean,median,std,average_rank,dataset_wins_including_ties,statistic,p_value,median_paired_difference_left_minus_right,paired_rank_biserial,holm_adjusted_p
paired_wilcoxon,literals_after_prune,,antihorn_vs_affine,46,,,,,,133.5,8.718867789013108e-06,-7.424999999999999,-0.7530064754856615,2.2452089741985325e-05
paired_wilcoxon,literals_after_prune,,square2cnf_vs_affine,46,,,,,,0.0,2.842170943040401e-14,25.325,1.0,2.8421709430404007e-13
descriptive,mean_axp_length,unary,,46,3.926648306539584,3.9162800565770866,1.197978706030022,1.0434782608695652,44.0,,,,,
descriptive,mean_axp_length,horn,,46,5.137106801586156,5.110059359762561,1.5101999480221378,2.5434782608695654,2.0,,,,,
descriptive,mean_axp_length,antihorn,,46,5.553354322818533,5.114861847350897,2.0565146049967273,2.5869565217391304,0.0,,,,,
descriptive,mean_axp_length,square2cnf,,46,6.35726774494367,6.121648784306502,2.17892376218463,4.065217391304348,0.0,,,,,
descriptive,mean_axp_length,affine,,46,7.897178419223694,8.184913963963965,2.331646283580282,4.760869565217392,0.0,,,,,
friedman,mean_axp_length,all_fixed,all_fixed,46,,,,,,156.01746724890833,1.044509868384085e-32,,,
paired_wilcoxon,mean_axp_length,,unary_vs_horn,46,,,,,,13.0,2.5011104298755527e-12,-1.0869393081482797,-0.9759481961147086,1.2505552149377763e-11
paired_wilcoxon,mean_axp_length,,unary_vs_antihorn,46,,,,,,0.0,2.842170943040401e-14,-1.3070348133826304,-1.0,2.8421709430404007e-13
paired_wilcoxon,mean_axp_length,,unary_vs_square2cnf,46,,,,,,0.0,2.842170943040401e-14,-2.1877971351142085,-1.0,2.8421709430404007e-13
paired_wilcoxon,mean_axp_length,,unary_vs_affine,46,,,,,,0.0,2.842170943040401e-14,-3.9280992089650626,-1.0,2.8421709430404007e-13
paired_wilcoxon,mean_axp_length,,horn_vs_antihorn,46,,,,,,522.0,0.8440938791862385,0.001355583392984805,-0.03768115942028986,0.8440938791862385
paired_wilcoxon,mean_axp_length,,horn_vs_square2cnf,46,,,,,,2.0,4.15406517427418e-09,-0.7641352549889135,-0.9980676328502416,1.661626069709672e-08
paired_wilcoxon,mean_axp_length,,horn_vs_affine,46,,,,,,3.0,1.4210854715202004e-13,-2.8764587242026267,-0.9944495837187789,9.947598300641403e-13
paired_wilcoxon,mean_axp_length,,antihorn_vs_square2cnf,46,,,,,,31.0,2.6808228839243587e-08,-0.7653071557155715,-0.9439613526570049,8.042468651773076e-08
paired_wilcoxon,mean_axp_length,,antihorn_vs_affine,46,,,,,,12.0,1.9895196601282805e-12,-2.503255767963085,-0.9777983348751156,1.1937117960769683e-11
paired_wilcoxon,mean_axp_length,,square2cnf_vs_affine,46,,,,,,84.0,3.346190169395413e-08,-1.611553713019012,-0.8445883441258094,8.042468651773076e-08
descriptive,total_fit_time,unary,,46,0.04719580479130434,0.011573781675,0.0937442001283175,1.565217391304348,36.0,,,,,
descriptive,total_fit_time,horn,,46,0.06483404249239132,0.016743939325,0.1347586694425157,2.4130434782608696,2.0,,,,,
descriptive,total_fit_time,antihorn,,46,0.0663483121619565,0.01721005125,0.1420887463704753,2.4130434782608696,4.0,,,,,
