dataset,method,rank,accuracy
lymph,antihorn,3.0,0.7863636363636364
lymph,square2cnf,5.0,0.7761363636363636
lymph,affine,4.0,0.7784090909090909
magic04-bin,unary,4.0,0.8321416053277252
magic04-bin,horn,2.0,0.833806519453207
magic04-bin,antihorn,3.0,0.8337977567472835
magic04-bin,square2cnf,1.0,0.837372940764108
magic04-bin,affine,5.0,0.8195145460918332
messidor-bin,unary,2.5,0.6343478260869565
messidor-bin,horn,1.0,0.6353623188405797
messidor-bin,antihorn,2.5,0.6343478260869565
messidor-bin,square2cnf,4.0,0.6314492753623189
messidor-bin,affine,5.0,0.631159420289855
mushroom,unary,4.0,0.9997743126795241
mushroom,horn,2.0,0.9998768978251948
mushroom,antihorn,2.0,0.9998768978251948
mushroom,square2cnf,2.0,0.9998768978251948
mushroom,affine,5.0,0.997168649979483
pendigits,unary,1.0,0.9959964412811388
pendigits,horn,3.0,0.9955960854092527
pendigits,antihorn,3.0,0.9955960854092527
pendigits,square2cnf,3.0,0.9955960854092527
pendigits,affine,5.0,0.9948620996441282
primary-tumor,unary,1.0,0.8054455445544555
primary-tumor,horn,2.0,0.7965346534653465
primary-tumor,antihorn,3.0,0.7940594059405941
primary-tumor,square2cnf,4.0,0.7920792079207921
primary-tumor,affine,5.0,0.7698019801980198
segment,unary,2.0,0.9972582972582972
segment,horn,4.0,0.9971139971139971
segment,antihorn,4.0,0.9971139971139971
segment,square2cnf,4.0,0.9971139971139971
segment,affine,1.0,0.9974025974025974
seismic_bumps-bin,unary,1.0,0.9133548387096774
seismic_bumps-bin,horn,2.0,0.911483870967742
seismic_bumps-bin,antihorn,4.0,0.9104516129032257
seismic_bumps-bin,square2cnf,5.0,0.9081290322580646
seismic_bumps-bin,affine,3.0,0.9108387096774194
soybean,unary,5.0,0.9201058201058201
soybean,horn,4.0,0.9314814814814815
soybean,antihorn,1.0,0.9391534391534391
soybean,square2cnf,3.0,0.9365079365079364
soybean,affine,2.0,0.9365079365079365
splice-1,unary,1.0,0.9548066875653083
splice-1,horn,2.0,0.9542842215256009
splice-1,antihorn,5.0,0.9377220480668758
splice-1,square2cnf,3.0,0.9455067920585162
splice-1,affine,4.0,0.9423197492163009
taiwan_binarised,unary,1.0,0.8207777777777778
taiwan_binarised,horn,2.0,0.8203222222222222
taiwan_binarised,antihorn,3.0,0.8194944444444445
taiwan_binarised,square2cnf,4.0,0.8188833333333333
taiwan_binarised,affine,5.0,0.8169888888888888
tic-tac-toe,unary,2.0,0.9156794425087108
tic-tac-toe,horn,1.0,0.9175958188153309
tic-tac-toe,antihorn,3.0,0.8923344947735192
tic-tac-toe,square2cnf,4.0,0.8872822299651568
tic-tac-toe,affine,5.0,0.8637630662020905
titanic-un,unary,5.0,0.8033834586466165
titanic-un,horn,1.0,0.8101503759398497
titanic-un,antihorn,4.0,0.8045112781954886
titanic-un,square2cnf,2.0,0.8093984962406016
titanic-un,affine,3.0,0.8082706766917294
vehicle,unary,1.0,0.9433070866141732
vehicle,horn,3.0,0.9405511811023622
vehicle,antihorn,3.0,0.9405511811023622
vehicle,square2cnf,3.0,0.9405511811023622
vehicle,affine,5.0,0.9375984251968503
vote,unary,1.0,0.9442307692307692
vote,horn,4.0,0.9315384615384616
vote,antihorn,2.0,0.9373076923076923
vote,square2cnf,3.0,0.9330769230769231
vote,affine,5.0,0.9276923076923076
wine1-un,unary,3.0,0.6943396226415094
wine1-un,horn,5.0,0.6830188679245283
wine1-un,antihorn,1.0,0.7084905660377359
wine1-un,square2cnf,2.0,0.7037735849056603
wine1-un,affine,4.0,0.6867924528301886
wine2-un,unary,5.0,0.6264150943396226
wine2-un,horn,3.0,0.6566037735849056
wine2-un,antihorn,1.5,0.6641509433962264
wine2-un,square2cnf,1.5,0.6641509433962264
