dataset,run,depth,method,compatible_family_count,selected_family_counts,path_theory_state,path_backend
"car_evaluation-bin",0,7,cals_compact_explain_square2cnf,1,"{""Square2Cnf"": 8}","two_sat","TwoSat"
"car_evaluation-bin",0,7,cals_compact_explain_affine,1,"{""Affine"": 12}","affine_gf2","Gf2Gaussian"
"car_evaluation-bin",1,7,cals_horn,1,"{""Horn"": 12}","horn","StructuralHorn"
"car_evaluation-bin",1,7,cals_antihorn,1,"{""AntiHorn"": 9}","antihorn","StructuralAntiHorn"
"car_evaluation-bin",1,7,cals_square2cnf,1,"{""Square2Cnf"": 7}","two_sat","TwoSat"
"car_evaluation-bin",1,7,cals_affine,1,"{""Affine"": 12}","affine_gf2","Gf2Gaussian"
"car_evaluation-bin",1,7,cals_compact_explain_horn,1,"{""Horn"": 13}","horn","StructuralHorn"
"car_evaluation-bin",1,7,cals_compact_explain_antihorn,1,"{""AntiHorn"": 16}","antihorn","StructuralAntiHorn"
"car_evaluation-bin",1,7,cals_compact_explain_square2cnf,1,"{""Square2Cnf"": 7}","two_sat","TwoSat"
"car_evaluation-bin",1,7,cals_compact_explain_affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"tic-tac-toe",0,7,cals_horn,1,"{""Horn"": 12}","horn","StructuralHorn"
"tic-tac-toe",0,7,cals_antihorn,1,"{""AntiHorn"": 17}","antihorn","StructuralAntiHorn"
"tic-tac-toe",0,7,cals_square2cnf,1,"{""Square2Cnf"": 17}","two_sat","TwoSat"
"tic-tac-toe",0,7,cals_affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"tic-tac-toe",0,7,cals_compact_explain_horn,1,"{""Horn"": 12}","horn","StructuralHorn"
"tic-tac-toe",0,7,cals_compact_explain_antihorn,1,"{""AntiHorn"": 16}","antihorn","StructuralAntiHorn"
"tic-tac-toe",0,7,cals_compact_explain_square2cnf,1,"{""Square2Cnf"": 18}","two_sat","TwoSat"
"tic-tac-toe",0,7,cals_compact_explain_affine,1,"{""Affine"": 17}","affine_gf2","Gf2Gaussian"
"tic-tac-toe",1,7,cals_horn,1,"{""Horn"": 12}","horn","StructuralHorn"
"tic-tac-toe",1,7,cals_antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"tic-tac-toe",1,7,cals_square2cnf,1,"{""Square2Cnf"": 21}","two_sat","TwoSat"
"tic-tac-toe",1,7,cals_affine,1,"{""Affine"": 16}","affine_gf2","Gf2Gaussian"
"tic-tac-toe",1,7,cals_compact_explain_horn,1,"{""Horn"": 16}","horn","StructuralHorn"
"tic-tac-toe",1,7,cals_compact_explain_antihorn,1,"{""AntiHorn"": 21}","antihorn","StructuralAntiHorn"
"tic-tac-toe",1,7,cals_compact_explain_square2cnf,1,"{""Square2Cnf"": 21}","two_sat","TwoSat"
"tic-tac-toe",1,7,cals_compact_explain_affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
