dataset,run,depth,method,pruning_enabled,nodes_before,nodes_after,leaves_before,leaves_after,literals_before,literals_after,validation_accuracy_before,validation_accuracy_after,validation_balanced_accuracy_before,validation_balanced_accuracy_after,validation_sensitivity_before,validation_sensitivity_after,validation_specificity_before,validation_specificity_after,validation_macro_f1_before,validation_macro_f1_after,validation_minority_recall_before,validation_minority_recall_after,validation_class_support,root_reason,reason_counts,pruning_time,path_certified
"HTRU_2-bin",0,7,cals_horn,true,155,27,78,14,154,26,0.9800478850758181,0.9804469273743017,0.9278472190132927,0.9300402014694331,0.8640350877192983,0.868421052631579,0.9916593503072871,0.9916593503072871,0.938220839052713,0.9395792482956629,0.8640350877192983,0.868421052631579,"0:2278|1:228",no_change,"objective_improved:63|no_change:14",0.000865257,true
"HTRU_2-bin",0,7,cals_antihorn,true,165,15,83,8,164,14,0.9780526735833999,0.9796488427773344,0.9208292900820972,0.921707253207646,0.8508771929824561,0.8508771929824561,0.9907813871817384,0.9925373134328358,0.9319044280648812,0.9363372314570966,0.8508771929824561,0.8508771929824561,"0:2278|1:228",no_change,"objective_improved:73|no_change:9",0.000885577,true
"HTRU_2-bin",0,7,cals_square2cnf,true,135,19,68,10,268,36,0.9784517158818835,0.9784517158818835,0.9171017975139781,0.9052608474654591,0.8421052631578947,0.8157894736842105,0.9920983318700615,0.9947322212467077,0.9324532347814629,0.9307322346639804,0.8421052631578947,0.8157894736842105,"0:2278|1:228",no_change,"objective_improved:54|no_change:13",0.000906265,true
"HTRU_2-bin",0,7,cals_affine,true,153,21,77,11,187,25,0.9776536312849162,0.9800478850758181,0.908768849252191,0.9160062689647737,0.8245614035087719,0.8377192982456141,0.9929762949956101,0.9942932396839332,0.9290716480672812,0.9366711143457869,0.8245614035087719,0.8377192982456141,"0:2278|1:228",no_change,"objective_improved:64|no_change:12",0.000930406,true
"HTRU_2-bin",0,7,cals_compact_explain_horn,true,155,5,78,3,154,4,0.9796488427773344,0.9784517158818835,0.921707253207646,0.9210487808634844,0.8508771929824561,0.8508771929824561,0.9925373134328358,0.9912203687445127,0.9363372314570966,0.9330059308692338,0.8508771929824561,0.8508771929824561,"0:2278|1:228",no_change,"objective_improved:47|insufficient_validation_support:19|no_change:11",0.001291563,true
"HTRU_2-bin",0,7,cals_compact_explain_antihorn,true,165,5,83,3,164,4,0.9796488427773344,0.9784517158818835,0.921707253207646,0.9210487808634844,0.8508771929824561,0.8508771929824561,0.9925373134328358,0.9912203687445127,0.9363372314570966,0.9330059308692338,0.8508771929824561,0.8508771929824561,"0:2278|1:228",no_change,"objective_improved:50|insufficient_validation_support:22|no_change:10",0.001220044,true
"HTRU_2-bin",0,7,cals_compact_explain_square2cnf,true,145,5,73,3,288,8,0.9780526735833999,0.9772545889864326,0.9228027817568505,0.9144698334950634,0.8552631578947368,0.8377192982456141,0.990342405618964,0.9912203687445127,0.9321807889032949,0.9288474939814608,0.8552631578947368,0.8377192982456141,"0:2278|1:228",no_change,"objective_improved:43|insufficient_validation_support:18|no_change:11",0.001218592,true
"HTRU_2-bin",0,7,cals_compact_explain_affine,true,157,5,79,3,191,6,0.9744612928970471,0.9768555466879489,0.8991189563020809,0.9300382761117016,0.8070175438596491,0.8728070175438597,0.9912203687445127,0.9872695346795435,0.9189390263626072,0.9300382761117016,0.8070175438596491,0.8728070175438597,"0:2278|1:228",no_change,"objective_improved:49|insufficient_validation_support:22|no_change:7",0.001276233,true
"HTRU_2-bin",1,7,cals_horn,true,165,5,83,3,164,4,0.9728651237031125,0.9740622505985634,0.9061349598755448,0.9186343822682255,0.8245614035087719,0.8508771929824561,0.9877085162423178,0.9863915715539947,0.9159803411116896,0.9211273143339691,0.8245614035087719,0.8508771929824561,"0:2278|1:228",no_change,"objective_improved:73|no_change:9",0.000909567,true
"HTRU_2-bin",1,7,cals_antihorn,true,145,13,73,7,144,12,0.970071827613727,0.9760574620909817,0.8986780493815751,0.9059173944518892,0.8114035087719298,0.8201754385964912,0.9859525899912204,0.9916593503072871,0.9075192575954023,0.9243224960892911,0.8114035087719298,0.8201754385964912,"0:2278|1:228",no_change,"objective_improved:65|no_change:7",0.000881026,true
"HTRU_2-bin",1,7,cals_square2cnf,true,131,25,66,13,260,48,0.9744612928970471,0.9768555466879489,0.9070129230010936,0.9103033593641698,0.8245614035087719,0.8289473684210527,0.9894644424934153,0.9916593503072871,0.920273602163366,0.9271488259446974,0.8245614035087719,0.8289473684210527,"0:2278|1:228",no_change,"objective_improved:53|no_change:12",0.000850714,true
