dataset,run,depth,method,search_strategy,candidate_beam_width,tree_beam_width,lookahead_depth,node_budget,total_fit_time
"car_evaluation-bin",0,7,cals_compact_explain_horn,SelectiveLookahead,16,4,2,18446744073709551615,0.01122425
"car_evaluation-bin",0,7,cals_compact_explain_antihorn,SelectiveLookahead,16,4,2,18446744073709551615,0.010841335
"car_evaluation-bin",0,7,cals_compact_explain_square2cnf,SelectiveLookahead,16,4,2,18446744073709551615,3.009049005
"car_evaluation-bin",0,7,cals_compact_explain_affine,SelectiveLookahead,16,4,2,18446744073709551615,0.061549986
"car_evaluation-bin",1,7,cals_horn,SparseLookahead,16,8,2,18446744073709551615,0.017275277
"car_evaluation-bin",1,7,cals_antihorn,SparseLookahead,16,8,2,18446744073709551615,0.017770663
"car_evaluation-bin",1,7,cals_square2cnf,SparseLookahead,16,8,2,18446744073709551615,13.769510486
"car_evaluation-bin",1,7,cals_affine,SparseLookahead,16,8,2,18446744073709551615,0.072073641
"car_evaluation-bin",1,7,cals_compact_explain_horn,SelectiveLookahead,16,4,2,18446744073709551615,0.010354413
"car_evaluation-bin",1,7,cals_compact_explain_antihorn,SelectiveLookahead,16,4,2,18446744073709551615,0.01091971
"car_evaluation-bin",1,7,cals_compact_explain_square2cnf,SelectiveLookahead,16,4,2,18446744073709551615,3.254154029
"car_evaluation-bin",1,7,cals_compact_explain_affine,SelectiveLookahead,16,4,2,18446744073709551615,0.059758302
"tic-tac-toe",0,7,cals_horn,SparseLookahead,16,8,2,18446744073709551615,0.018378745
"tic-tac-toe",0,7,cals_antihorn,SparseLookahead,16,8,2,18446744073709551615,0.033296491
"tic-tac-toe",0,7,cals_square2cnf,SparseLookahead,16,8,2,18446744073709551615,25.621238475
"tic-tac-toe",0,7,cals_affine,SparseLookahead,16,8,2,18446744073709551615,0.311167715
"tic-tac-toe",0,7,cals_compact_explain_horn,SelectiveLookahead,16,4,2,18446744073709551615,0.013759399
"tic-tac-toe",0,7,cals_compact_explain_antihorn,SelectiveLookahead,16,4,2,18446744073709551615,0.023005205
"tic-tac-toe",0,7,cals_compact_explain_square2cnf,SelectiveLookahead,16,4,2,18446744073709551615,5.668914086
"tic-tac-toe",0,7,cals_compact_explain_affine,SelectiveLookahead,16,4,2,18446744073709551615,0.208373101
"tic-tac-toe",1,7,cals_horn,SparseLookahead,16,8,2,18446744073709551615,0.02227893
"tic-tac-toe",1,7,cals_antihorn,SparseLookahead,16,8,2,18446744073709551615,0.027458617
"tic-tac-toe",1,7,cals_square2cnf,SparseLookahead,16,8,2,18446744073709551615,26.659784487
"tic-tac-toe",1,7,cals_affine,SparseLookahead,16,8,2,18446744073709551615,0.338797447
"tic-tac-toe",1,7,cals_compact_explain_horn,SelectiveLookahead,16,4,2,18446744073709551615,0.01372971
"tic-tac-toe",1,7,cals_compact_explain_antihorn,SelectiveLookahead,16,4,2,18446744073709551615,0.017556834
"tic-tac-toe",1,7,cals_compact_explain_square2cnf,SelectiveLookahead,16,4,2,18446744073709551615,6.248422795
"tic-tac-toe",1,7,cals_compact_explain_affine,SelectiveLookahead,16,4,2,18446744073709551615,0.227863619
