method,rows,accuracy_mean,tree_nodes_mean,mean_axp_length_mean
cals_affine,10,0.9074676773047177,21.2,4.44775597434485
cals_antihorn,10,0.9146637377867318,15.6,2.4931283976369327
cals_compact_explain_affine,10,0.9122431183413969,16.4,3.524891477266121
cals_compact_explain_antihorn,10,0.914718490190714,17,2.3056734480275236
cals_compact_explain_horn,10,0.9094213812350687,13.8,2.363244782428126
cals_compact_explain_square2cnf,10,0.9133834171060358,13,2.461496423715604
cals_horn,10,0.9207712499297959,16.4,2.699515236165152
cals_square2cnf,10,0.9166849070892935,18.4,3.281655151060948
