dataset,method_key,method_label,depth,category,acc,acc_std,size,expl,train_time,axp_valid_rate,axp_minimal_rate,n_success,n_fail,axp_backend,theorem_certified,path_certificate,rejected_reason,theorem_mode_used,random_state,n_runs,train_test_split_protocol
IndiansDiabetes-bin,gsnh_AntiHorn_d7,AntiHorn,7,main,0.7551948051948051,0.04356460550057016,19.8,2.6759999999999997,0.23938889503479005,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_ConjUI_d5,ConjUI,5,auxiliary,0.7636363636363637,0.02877729844955888,15.8,3.134,0.23521835803985597,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_ConjUI_d7,ConjUI,7,auxiliary,0.7636363636363637,0.02877729844955888,15.8,3.1300000000000003,0.2339484214782715,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_Square2CNF_d5,Square2CNF,5,main,0.7577922077922078,0.04097088715414899,15.2,3.3340000000000005,0.2657414674758911,nan,nan,10,0,two_sat,True,2cnf,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_Square2CNF_d7,Square2CNF,7,main,0.7577922077922078,0.04097088715414899,15.2,3.276,0.262237548828125,nan,nan,10,0,two_sat,True,2cnf,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_Affine_d5,Affine,5,auxiliary,0.7311688311688311,0.02616810607741542,15.4,4.326,0.23463661670684816,nan,nan,10,0,affine,False,none,Affine backend is auxiliary unless separately certified,False,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_Affine_d7,Affine,7,auxiliary,0.7311688311688311,0.02616810607741542,15.4,4.366,0.23087780475616454,nan,nan,10,0,affine,False,none,Affine backend is auxiliary unless separately certified,False,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_BestPN_d5,BestPN,5,empirical,0.7435064935064936,0.02993358590030159,18.4,3.2239999999999993,0.24585142135620117,nan,nan,10,0,"mixed:interval_dfs_fallback=4,mixed:interval_dfs_fallback=149,unknown=113=1,mixed:interval_dfs_fallback=153,unknown=40=1,mixed:interval_dfs_fallback=77,unknown=40=1,mixed:interval_dfs_fallback=77,unknown=79=1,unknown=2",False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_BestPN_d7,BestPN,7,empirical,0.7428571428571428,0.02877729844955889,19.0,3.184,0.24716579914093018,nan,nan,10,0,"mixed:interval_dfs_fallback=4,mixed:interval_dfs_fallback=116,unknown=37=1,mixed:interval_dfs_fallback=155,unknown=40=1,mixed:interval_dfs_fallback=76,unknown=157=1,mixed:interval_dfs_fallback=77,unknown=40=1,unknown=2",False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
Statlog_satellite-bin,sklearn_dt7,sklearn DT,7,baseline,0.9653889515219843,0.006030249885148297,93.8,5.477226606538895,0.03902404308319092,nan,nan,10,0,sklearn,False,none,baseline,False,42,10,StratifiedShuffleSplit(test_size=0.2)
Statlog_satellite-bin,gsnh_1D_d5,1D,5,main,0.9244644870349493,0.015167558113950071,27.0,3.1079999999999997,9.477289509773254,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
Statlog_satellite-bin,gsnh_1D_d7,1D,7,main,0.9609921082299888,0.006861386270441013,40.8,3.6339999999999995,9.70997576713562,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
Statlog_satellite-bin,gsnh_Horn_d5,Horn,5,main,0.9473506200676436,0.011453474920470138,31.2,4.168,10.244110918045044,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
Statlog_satellite-bin,gsnh_Horn_d7,Horn,7,main,0.963021420518602,0.004475633199837475,51.2,5.168,10.383688473701477,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
Statlog_satellite-bin,gsnh_AntiHorn_d5,AntiHorn,5,main,0.9534385569334838,0.006217053293782294,30.8,3.854,10.220786023139954,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
