dataset,run,depth,method,search_strategy,candidate_beam_width,tree_beam_width,lookahead_depth,node_budget,total_fit_time
"affine_xor3__noise_10",1,4,affine,Greedy,8,8,2,18446744073709551615,0.002433973
"affine_xor3__noise_10",2,4,unary,Greedy,8,8,2,18446744073709551615,0.000415836
"affine_xor3__noise_10",2,4,horn,Greedy,8,8,2,18446744073709551615,0.000946346
"affine_xor3__noise_10",2,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001046103
"affine_xor3__noise_10",2,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.021858333
"affine_xor3__noise_10",2,4,affine,Greedy,8,8,2,18446744073709551615,0.002362379
"affine_xor3__noise_10",3,4,unary,Greedy,8,8,2,18446744073709551615,0.000408731
"affine_xor3__noise_10",3,4,horn,Greedy,8,8,2,18446744073709551615,0.000856929
"affine_xor3__noise_10",3,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001082624
"affine_xor3__noise_10",3,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.025018853
"affine_xor3__noise_10",3,4,affine,Greedy,8,8,2,18446744073709551615,0.002245926
"affine_xor3__noise_10",4,4,unary,Greedy,8,8,2,18446744073709551615,0.000385758
"affine_xor3__noise_10",4,4,horn,Greedy,8,8,2,18446744073709551615,0.000960496
"affine_xor3__noise_10",4,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001042406
"affine_xor3__noise_10",4,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.021422332
"affine_xor3__noise_10",4,4,affine,Greedy,8,8,2,18446744073709551615,0.002300132
"antihorn_chain__noise_00",0,4,unary,Greedy,8,8,2,18446744073709551615,0.000182687
"antihorn_chain__noise_00",0,4,horn,Greedy,8,8,2,18446744073709551615,0.00053334
"antihorn_chain__noise_00",0,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000501929
"antihorn_chain__noise_00",0,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.005398977
"antihorn_chain__noise_00",0,4,affine,Greedy,8,8,2,18446744073709551615,0.001446551
"antihorn_chain__noise_00",1,4,unary,Greedy,8,8,2,18446744073709551615,0.000158526
"antihorn_chain__noise_00",1,4,horn,Greedy,8,8,2,18446744073709551615,0.0006162
"antihorn_chain__noise_00",1,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000402613
"antihorn_chain__noise_00",1,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.005471085
"antihorn_chain__noise_00",1,4,affine,Greedy,8,8,2,18446744073709551615,0.001532881
"antihorn_chain__noise_00",2,4,unary,Greedy,8,8,2,18446744073709551615,0.000177259
"antihorn_chain__noise_00",2,4,horn,Greedy,8,8,2,18446744073709551615,0.000438751
