dataset,run,depth,method,pruning_enabled,nodes_before,nodes_after,leaves_before,leaves_after,literals_before,literals_after,validation_accuracy_before,validation_accuracy_after,validation_balanced_accuracy_before,validation_balanced_accuracy_after,validation_sensitivity_before,validation_sensitivity_after,validation_specificity_before,validation_specificity_after,validation_macro_f1_before,validation_macro_f1_after,validation_minority_recall_before,validation_minority_recall_after,validation_class_support,root_reason,reason_counts,pruning_time,path_certified
"antihorn_chain__noise_05",2,4,affine,false,27,27,14,14,29,29,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_05",3,4,unary,false,29,29,15,15,14,14,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_05",3,4,horn,false,21,21,11,11,20,20,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_05",3,4,antihorn,false,21,21,11,11,20,20,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_05",3,4,square2cnf,false,21,21,11,11,40,40,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_05",3,4,affine,false,29,29,15,15,32,32,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_05",4,4,unary,false,29,29,15,15,14,14,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_05",4,4,horn,false,21,21,11,11,20,20,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_05",4,4,antihorn,false,21,21,11,11,20,20,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_05",4,4,square2cnf,false,23,23,12,12,44,44,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_05",4,4,affine,false,31,31,16,16,33,33,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",0,4,unary,false,31,31,16,16,15,15,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",0,4,horn,false,21,21,11,11,20,20,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",0,4,antihorn,false,23,23,12,12,22,22,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",0,4,square2cnf,false,23,23,12,12,44,44,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",0,4,affine,false,31,31,16,16,33,33,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
