method,rows,accuracy_mean,tree_nodes_mean,mean_axp_length_mean
affine,120,0.938149350649351,23.283333333333335,1.8179653679653673
antihorn,120,0.9191558441558441,17.6,1.8417748917748908
horn,120,0.8984848484848486,17.7,1.8463203463203457
square2cnf,120,0.9422077922077925,16.983333333333334,1.8546536796536792
unary,120,0.918127705627706,23.233333333333334,1.8474567099567096
