dataset,run,depth,method,compatible_family_count,selected_family_counts,path_theory_state,path_backend
"affine_xor3__noise_10",0,4,square2cnf,1,"{""Square2Cnf"": 14}","two_sat","TwoSat"
"affine_xor3__noise_10",0,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"affine_xor3__noise_10",1,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"affine_xor3__noise_10",1,4,horn,1,"{""Horn"": 12}","horn","StructuralHorn"
"affine_xor3__noise_10",1,4,antihorn,1,"{""AntiHorn"": 13}","antihorn","StructuralAntiHorn"
"affine_xor3__noise_10",1,4,square2cnf,1,"{""Square2Cnf"": 14}","two_sat","TwoSat"
"affine_xor3__noise_10",1,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"affine_xor3__noise_10",2,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"affine_xor3__noise_10",2,4,horn,1,"{""Horn"": 12}","horn","StructuralHorn"
"affine_xor3__noise_10",2,4,antihorn,1,"{""AntiHorn"": 13}","antihorn","StructuralAntiHorn"
"affine_xor3__noise_10",2,4,square2cnf,1,"{""Square2Cnf"": 12}","two_sat","TwoSat"
"affine_xor3__noise_10",2,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"affine_xor3__noise_10",3,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"affine_xor3__noise_10",3,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"affine_xor3__noise_10",3,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"affine_xor3__noise_10",3,4,square2cnf,1,"{""Square2Cnf"": 13}","two_sat","TwoSat"
"affine_xor3__noise_10",3,4,affine,1,"{""Affine"": 13}","affine_gf2","Gf2Gaussian"
"affine_xor3__noise_10",4,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"affine_xor3__noise_10",4,4,horn,1,"{""Horn"": 11}","horn","StructuralHorn"
"affine_xor3__noise_10",4,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"affine_xor3__noise_10",4,4,square2cnf,1,"{""Square2Cnf"": 12}","two_sat","TwoSat"
"affine_xor3__noise_10",4,4,affine,1,"{""Affine"": 13}","affine_gf2","Gf2Gaussian"
"antihorn_chain__noise_00",0,4,unary,1,"{""Unary"": 4}","uncommitted","StructuralHorn"
"antihorn_chain__noise_00",0,4,horn,1,"{""Horn"": 5}","horn","StructuralHorn"
"antihorn_chain__noise_00",0,4,antihorn,1,"{""AntiHorn"": 3}","antihorn","StructuralAntiHorn"
"antihorn_chain__noise_00",0,4,square2cnf,1,"{""Square2Cnf"": 3}","two_sat","TwoSat"
"antihorn_chain__noise_00",0,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"antihorn_chain__noise_00",1,4,unary,1,"{""Unary"": 4}","uncommitted","StructuralHorn"
"antihorn_chain__noise_00",1,4,horn,1,"{""Horn"": 6}","horn","StructuralHorn"
"antihorn_chain__noise_00",1,4,antihorn,1,"{""AntiHorn"": 3}","antihorn","StructuralAntiHorn"
