dataset,run,depth,method,compatible_family_count,selected_family_counts,path_theory_state,path_backend
"HTRU_2-bin",2,7,cals_compact_explain,5,"{""Square2Cnf"": 1, ""Unary"": 1}","uncommitted|two_sat","StructuralHorn|TwoSat"
"HTRU_2-bin",3,5,unary,1,"{""Unary"": 29}","uncommitted","StructuralHorn"
"HTRU_2-bin",3,5,horn,1,"{""Horn"": 28}","horn","StructuralHorn"
"HTRU_2-bin",3,5,antihorn,1,"{""AntiHorn"": 28}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",3,5,square2cnf,1,"{""Square2Cnf"": 26}","two_sat","TwoSat"
"HTRU_2-bin",3,5,affine,1,"{""Affine"": 30}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",3,5,smart_certified,5,"{""Unary"": 29}","uncommitted","StructuralHorn"
"HTRU_2-bin",3,5,cals,5,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"HTRU_2-bin",3,5,cals_compact_explain,5,"{""Horn"": 1, ""Unary"": 1}","uncommitted|horn","StructuralHorn"
"HTRU_2-bin",3,7,unary,1,"{""Unary"": 88}","uncommitted","StructuralHorn"
"HTRU_2-bin",3,7,horn,1,"{""Horn"": 84}","horn","StructuralHorn"
"HTRU_2-bin",3,7,antihorn,1,"{""AntiHorn"": 81}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",3,7,square2cnf,1,"{""Square2Cnf"": 68}","two_sat","TwoSat"
"HTRU_2-bin",3,7,affine,1,"{""Affine"": 80}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",3,7,smart_certified,5,"{""Affine"": 2, ""AntiHorn"": 2, ""Horn"": 4, ""Unary"": 77}","uncommitted|horn|antihorn|affine_gf2","Gf2Gaussian|StructuralAntiHorn|StructuralHorn"
"HTRU_2-bin",3,7,cals,5,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"HTRU_2-bin",3,7,cals_compact_explain,5,"{""Horn"": 1, ""Unary"": 1}","uncommitted|horn","StructuralHorn"
"HTRU_2-bin",4,5,unary,1,"{""Unary"": 28}","uncommitted","StructuralHorn"
"HTRU_2-bin",4,5,horn,1,"{""Horn"": 26}","horn","StructuralHorn"
"HTRU_2-bin",4,5,antihorn,1,"{""AntiHorn"": 28}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",4,5,square2cnf,1,"{""Square2Cnf"": 26}","two_sat","TwoSat"
"HTRU_2-bin",4,5,affine,1,"{""Affine"": 28}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",4,5,smart_certified,5,"{""Unary"": 28}","uncommitted","StructuralHorn"
"HTRU_2-bin",4,5,cals,5,"{""AntiHorn"": 1}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",4,5,cals_compact_explain,5,"{""Unary"": 2}","uncommitted","StructuralHorn"
"HTRU_2-bin",4,7,unary,1,"{""Unary"": 74}","uncommitted","StructuralHorn"
"HTRU_2-bin",4,7,horn,1,"{""Horn"": 71}","horn","StructuralHorn"
"HTRU_2-bin",4,7,antihorn,1,"{""AntiHorn"": 83}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",4,7,square2cnf,1,"{""Square2Cnf"": 72}","two_sat","TwoSat"
"HTRU_2-bin",4,7,affine,1,"{""Affine"": 72}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",4,7,smart_certified,5,"{""Affine"": 1, ""AntiHorn"": 1, ""Horn"": 1, ""Square2Cnf"": 1, ""Unary"": 69}","uncommitted|horn|antihorn|two_sat|affine_gf2","Gf2Gaussian|StructuralAntiHorn|StructuralHorn|TwoSat"
"HTRU_2-bin",4,7,cals,5,"{""AntiHorn"": 1}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",4,7,cals_compact_explain,5,"{""Unary"": 2}","uncommitted","StructuralHorn"
"HTRU_2-bin",5,5,unary,1,"{""Unary"": 30}","uncommitted","StructuralHorn"
"HTRU_2-bin",5,5,horn,1,"{""Horn"": 29}","horn","StructuralHorn"
"HTRU_2-bin",5,5,antihorn,1,"{""AntiHorn"": 30}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",5,5,square2cnf,1,"{""Square2Cnf"": 31}","two_sat","TwoSat"
"HTRU_2-bin",5,5,affine,1,"{""Affine"": 30}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",5,5,smart_certified,5,"{""Unary"": 30}","uncommitted","StructuralHorn"
"HTRU_2-bin",5,5,cals,5,"{""Square2Cnf"": 1, ""Unary"": 1}","uncommitted|two_sat","StructuralHorn|TwoSat"
"HTRU_2-bin",5,5,cals_compact_explain,5,"{""Square2Cnf"": 1, ""Unary"": 1}","uncommitted|two_sat","StructuralHorn|TwoSat"
"HTRU_2-bin",5,7,unary,1,"{""Unary"": 88}","uncommitted","StructuralHorn"
"HTRU_2-bin",5,7,horn,1,"{""Horn"": 87}","horn","StructuralHorn"
"HTRU_2-bin",5,7,antihorn,1,"{""AntiHorn"": 91}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",5,7,square2cnf,1,"{""Square2Cnf"": 87}","two_sat","TwoSat"
"HTRU_2-bin",5,7,affine,1,"{""Affine"": 77}","affine_gf2","Gf2Gaussian"
